"VPID","BNF","ATC","DDD","DDD_UOMCD"
"39296011000001100","","L01CE02","",""
"39290811000001109","","V10XA01","",""
"39285011000001105","","V10XA01","",""
"39288411000001106","","V10XA01","",""
"39285111000001106","","V10XA01","",""
"39290211000001108","","V10XA01","",""
"39290311000001100","","V10XA01","",""
"39288311000001104","","V10XA01","",""
"39288911000001103","","V10XA01","",""
"39287911000001104","","V10XA01","",""
"39287811000001109","","V10XA01","",""
"39287711000001101","","V10XA01","",""
"39287011000001103","","V10XA01","",""
"39287111000001102","","V10XA01","",""
"39287611000001105","","V10XA01","",""
"39287511000001106","","V10XA01","",""
"39288011000001102","","V10XA01","",""
"39288111000001101","","V10XA01","",""
"39287411000001107","","V10XA01","",""
"39288611000001109","","V10XA01","",""
"39287311000001100","","V10XA01","",""
"39288811000001108","","V10XA01","",""
"39288211000001107","","V10XA01","",""
"39289011000001107","","V10XA01","",""
"39286911000001102","","V10XA01","",""
"39289111000001108","","V10XA01","",""
"39289211000001102","","V10XA01","",""
"39286811000001107","","V10XA01","",""
"39286711000001104","","V10XA01","",""
"39286611000001108","","V10XA01","",""
"39286511000001109","","V10XA01","",""
"39286411000001105","","V10XA01","",""
"39286311000001103","","V10XA01","",""
"39289311000001105","","V10XA01","",""
"39286211000001106","","V10XA01","",""
"39287211000001108","","V10XA01","",""
"39289411000001103","","V10XA01","",""
"39289511000001104","","V10XA01","",""
"39286011000001101","","V10XA01","",""
"39289611000001100","","V10XA01","",""
"39285811000001104","","V10XA01","",""
"39289711000001109","","V10XA01","",""
"39285911000001109","","V10XA01","",""
"39285211000001100","","V10XA01","",""
"39285711000001107","","V10XA01","",""
"39284111000001107","","V10XA01","",""
"39285611000001103","","V10XA01","",""
"39284211000001101","","V10XA01","",""
"39290111000001102","","V10XA01","",""
"39285511000001102","","V10XA01","",""
"39284311000001109","","V10XA01","",""
"39285411000001101","","V10XA01","",""
"39284411000001102","","V10XA01","",""
"39284511000001103","","V10XA01","",""
"39285311000001108","","V10XA01","",""
"39286111000001100","","V10XA01","",""
"39284611000001104","","V10XA01","",""
"39284711000001108","","V10XA01","",""
"39284811000001100","","V10XA01","",""
"39284911000001105","","V10XA01","",""
"39283911000001108","","N07BC51","8","258684004"
"39284011000001106","","N07BC51","8","258684004"
"39289911000001106","","V08AB07","",""
"39288511000001105","","V10XA01","",""
"39290411000001107","","V10XA01","",""
"39289811000001101","","R07AX31","",""
"39290011000001103","","R07AX02","",""
"39233511000001107","","A10BJ05","160","258685003"
"39233411000001108","","A10BJ05","160","258685003"
"39233911000001100","14040000","","",""
"39233711000001102","","B01AC21","",""
"39233611000001106","","B01AC21","",""
"39217711000001104","","L01XC39","",""
"39217911000001102","","L02BG04","2.5","258684004"
"39217611000001108","","","",""
"39140011000001105","","","",""
"39141811000001107","","","",""
"39157611000001101","","","",""
"39158411000001100","","","",""
"39159011000001104","","","",""
"39159611000001106","","","",""
"39217811000001107","","L04AA41","",""
"39176811000001101","","L04AA26","",""
"39161211000001102","","","",""
"39149311000001104","","C03CA01","40","258684004"
"39149211000001107","","A11CC05","20","258685003"
"39150011000001107","","N05AB06","20","258684004"
"39150711000001109","","S02DA30","",""
"39149911000001103","","","",""
"39149411000001106","","B05XA05","",""
"39149511000001105","","L04AA38","",""
"39149711000001100","","L04AA38","",""
"39149611000001109","","L04AA38","",""
"39149811000001108","","L04AA38","",""
"39134511000001107","","","",""
"39133611000001108","","R03AK07","",""
"39133411000001105","","B02BX08","",""
"39134011000001104","","N06AB06","50","258684004"
"39133911000001102","","","",""
"39126611000001104","","L01DC03","",""
"39126711000001108","","J07BB02","",""
"39126811000001100","","L01XX66","",""
"39117711000001101","","","",""
"39116511000001109","","R03AK14","",""
"39116211000001106","14040000","","",""
"39116311000001103","","R03AK14","",""
"39116111000001100","14040000","","",""
"39116411000001105","","R03AK14","",""
"39116611000001108","","N05AD03","",""
"39106211000001109","","","",""
"39107711000001104","","","",""
"39101211000001101","","","",""
"39102411000001107","","","",""
"39102811000001109","","","",""
"39099411000001106","","","",""
"39097511000001103","","S01AE05","",""
"39096711000001105","","A11CC05","20","258685003"
"39096611000001101","","A11CC05","20","258685003"
"39077711000001103","","","",""
"39080111000001105","","","",""
"39082711000001105","","","",""
"39078711000001102","","","",""
"39079511000001101","","","",""
"39084211000001107","","","",""
"39096811000001102","","","",""
"39083911000001100","","","",""
"39085711000001101","","","",""
"39075211000001102","","","",""
"39076311000001100","","","",""
"39077411000001109","","","",""
"39077011000001100","","L01EX18","",""
"39077111000001104","","L01EX18","",""
"39077211000001105","","L01EX18","",""
"39077511000001108","","","",""
"39066711000001107","","","",""
"39077611000001107","","","",""
